id,question,chapter,rightanswer,wronganswer1,wronganswer2,wronganswer3,wronganswer4,explanation,bookmark,bookinComp,bookTime,rese,wronganswer5
202,The delivery of oxygen and other nutrients to the cells along with the removal of wastes through the network of capillaries is known as:,5,Perfusion,Blood pressure,The Cardiac Cycle,Compensated shock,,"The delivery of oxygen and nutrients to the cells, along with the removal of wastes, is the primary purpose of the capillary network and is known as perfusion to the body.",,,,,
203,Which of the endocrine glands controls all the other endocrine glands?,5,Pituitary,Adrenal,Pancreas,Thyroid,Liver,"The liver aids the endocrine system, but it is more involved in the digestive system. The pituitary gland is found at the base of the brain and is known as the “master” gland because it’s main function is to control all the other endocrine glands.",,,,,
204,Which of the following is a description of vasoconstriction?,5,"A decreasing in the diameter of the vessels, which will increase the resistance and make it harder for blood to pass through","A decrease in the diameter of the vessels, which will decrease the resistance and make it easier for blood to pass through","An increase in the diameter of the vessels, which will increase the resistance and make it harder for blood to pass through","An increase in the diameter of the vessels, which will decrease the resistance and make it easier for blood to pass through",,"Vasoconstriction will decrease, or constrict, the size of the vessel, which raises blood pressure as more blood has to fit through a smaller space;  this increases resistance and makes it harder for blood to pass through causing the heart to pump with more force.",,,,,
205,The muscle(s) that contribute to as much as 60-70% of respiratory effort is/are:,5,Diaphragm,Abdominal,Intercostal,Respiratory,,"The diaphragm contributes to as much as 60-70% of the respiratory effort, while accessory muscles take up the remaining effort. The respiratory muscles could refer to all of the muscles used in respiration, which would include the diaphragm.",,,,,
206,To which of the following does oxygen attach?,5,Hemoglobin,Red blood cells,Plasma,Myosin,,"Red blood cells are composed of hemoglobin, which actually attach to the oxygen molecules. Myosin is a protein of which muscle is composed.",,,,,
207,The body’s main source of energy comes from metabolizing:,5,Glucose,ATP,Oxygen,Carbon dioxide,,"The body takes glucose and metabolizes it to ATP, usually in the presence of oxygen, and creates carbon dioxide as a byproduct.  Therefore, the body’s main metabolite is glucose.",,,,,
208,"If a patient takes a medication that excites Alpha 1 receptors, this will cause the body to:",5,"Constrict vessels, shunting blood to the core, causing the skin to become pale and cool.","Increase the heart rate, increase the force of contraction, and speed up electrical impulses in the heart.","Dilate smooth muscles, especially in the lungs and the bronchioles, and dilate important vessels in the core.",Release and regulate Alpha 2 hormones.,,"Alpha 1 receptors will cause the body's peripheral vessels to constrict, shunting blood to the core and causing skin to become pale and cool. Beta 1 will cause an increase in the heart rate, force of contractions and speed of electrical impulses in the heart. Beta 2 will cause smooth muscle to dilate, especially in the lungs and the bronchioles, and dilate important vessels in the core.",,,,,
209,Stimulating the Beta 1 receptors will cause the body to:,5,"Increase the heart rate, increase the force of contraction, and speed up electrical impulses in the heart.","Constrict vessels, shunting blood to the core, causing the skin to become pale and cool.","Dilate smooth muscles, especially in the lungs and the bronchioles, and dilate important vessels in the core.",Release and regulate Alpha 2 hormones.,,"Alpha 1 receptors will cause the body's peripheral vessels to constrict, shunting blood to the core and causing skin to become pale and cool. Beta 1 will cause an increase in the heart rate, force of contractions and speed of electrical impulses in the heart. Beta 2 will cause smooth muscle to dilate, especially in the lungs and the bronchioles, and dilate important vessels in the core.",,,,,
210,Beta 2 receptors will cause the body to:,5,"Dilate smooth muscles, especially in the lungs and the bronchioles, and dilate important vessels in the core.","Constrict vessels, shunting blood to the core, causing the skin to become pale and cool.","Increase the heart rate, increase the force of contraction, and speed up electrical impulses in the heart.",Release and regulate Alpha 2 hormones.,,"Alpha 1 receptors will cause the body's peripheral vessels to constrict, shunting blood to the core and causing skin to become pale and cool. Beta 1 will cause an increase in the heart rate, force of contractions and speed of electrical impulses in the heart. Beta 2 will cause smooth muscle to dilate, especially in the lungs and the bronchioles, and dilate important vessels in the core.",,,,,
211,Which nerve controls the diaphragm and exits the spinal cord in the cervical spine between C3 and C5?,5,Phrenic nerve,Optic nerve,Diaphragmatic nerve,Respiratory nerve,Sciatic nerve,"The phrenic nerve controls the diaphragm and exits the spinal cord between C3 and C5; this is significant if a patient is involved in a serious crash where the cord has been severed above this location, since the patient will not be able to take a breath.",,,,,
212,"You approach a patient who is a suspected drug user. You attempt to assess responsiveness, but the patient does not respond to any stimulus. What can you assume is not functioning for this patient?",5,The cerebral hemisphere and the reticular activating system,The medulla oblongata and the pons,The cerebral hemisphere and the medulla oblongata,The pons and the reticular activating system,The medulla oblongata and the cerebellum,"For anyone to be awake, the cerebral hemisphere and the reticular activating system must be functioning. Without these, your patient will not be responsive.",,,,,
213,"The patient you are working with does not have functioning islets of Langerhans. Therefore, the patient has:",5,Diabetes,Kidney failure ,Jaundice,Heart disease ,,The islets of Langerhans are found in the pancreas and are responsible for producing insulin this patient has diabetes.,,,,,
214,Which of the following is found in the left upper quadrant of the abdomen?,5,Spleen,Liver,Adrenal glands,Pancreas,,"The Spleen is found in the left upper quadrant;  the liver, mostly, is in the right upper quadrant; the pancreas is found directly in between the right and left upper quadrants; the adrenal glands are found on top of the kidneys.",,,,,
215,"Your patient has been stabbed in the upper right quadrant of the abdomen, what structure is in danger there? ",5,Liver,Spleen,Adrenal glands,Pancreas,,"The Spleen is found in the left upper quadrant;  the liver, mostly, is in the right upper quadrant; the pancreas is found directly in between the right and left upper quadrants; the adrenal glands are found on top of the kidneys. Of these the liver is primarily in the URQ. ",,,,,
216,Which of the following is found in between the left and the right upper quadrants of the abdomen?,5,Pancreas,Spleen,Liver,Adrenal glands,,"The Spleen is found in the left upper quadrant;  the liver, mostly, is in the right upper quadrant; the pancreas is found directly in between the right and left upper quadrants; the adrenal glands are found on top of the kidneys.",,,,,
217,Which of the following is found just above the kidneys in the abdomen?,5,Adrenal glands,Spleen,Liver,Pancreas,,"The Spleen is found in the left upper quadrant.  The liver, mostly, is in the right upper quadrant.  The pancreas is found directly in between the right and left upper quadrants, and the adrenal glands are found on top of the kidneys.",,,,,
218,Which structure carries urine from the kidneys to the bladder?,5,Ureters,Urethra,Duodenum,Hepatic ducts,,"The hepatic ducts receive bile from the lobes of the liver to aide in digestion. The duodenum is the first portion of the small intestine that receives partially digested food from the stomach. The urethra carries urine from the bladder out of the body, and the ureters carry waste from the kidneys to the bladder.",,,,,
219,Which structure carries urine out of the body?,5,Urethra,Ureters,Duodenum,Hepatic ducts,,"The hepatic ducts receive bile from the lobes of the liver to aide in digestion. The duodenum is the first portion of the small intestine that receives partially digested food from the stomach. The urethra carries urine from the bladder out of the body, and the ureters carry waste from the kidneys to the bladder.",,,,,
220,Which structure accepts partially digested food from the stomach?,5,Duodenum,Ureters,Urethra,Hepatic ducts,,"The hepatic ducts receive bile from the lobes of the liver to aide in digestion. The duodenum is the first portion of the small intestine that receives partially digested food from the stomach. The urethra carries urine from the bladder out of the body, and the ureters carry waste from the kidneys to the bladder.",,,,,
221,Which structure receives bile from the lobes of the liver?,5,Hepatic ducts,Ureters,Urethra,Duodenum,,"The hepatic ducts receive bile from the lobes of the liver to aide in digestion. The duodenum is the first portion of the small intestine that receives partially digested food from the stomach. The urethra carries urine from the bladder out of the body, and the ureters carry waste from the kidneys to the bladder.",,,,,
222,The fibrous membrane that separates muscles as well as provides support for them is known as?,5, Fascia, Myelin, Sheath, Tendon,,the Fascia is a thin sheath of fibrous tissue enclosing a muscle or other organ,,,,,
223,"When glucose crosses the cell membrane and is broken down into pyruvic acid for energy in the cell, it is called: ",6,glycolysis,anaerobic metabolism,ATP transfer,cellular respiration,,"Cellular metabolism, or cellular respiration, involves many different processes. Glycolysis is a specific process in the aerobic metabolism cycle in which glucose comes into a cell and is broken down into pyruvic acid, producing 2 ATP molecules. ",,,,,
224,The series of reactions that produce energy for the cell with the presence of oxygen are termed:,6,aerobic metabolism,anaerobic metabolism,cellular respiration,glycolysis,ATP transfer,"The series of reactions that produce energy for the cell with the presence of oxygen is called aerobic metabolism. Anaerobic metabolism occurs without oxygen, and either of them could be under the umbrella of cellular respiration. Glycolysis is one of the reactions within cellular respiration.",,,,,
225,The series of reactions that produce energy for the cell without the presence of oxygen are termed: ,6,anaerobic metabolism,aerobic metabolism,cellular metabolism,glycolysis,ATP transfer,"Anaerobic metabolism occurs without the presence of oxygen, while aerobic metabolism occurs with the presence of oxygen. Both of these are under the umbrella of cellular metabolism, or cellular respiration. Glycolysis is one of these reactions. ",,,,,
226,"When the intracellular sodium/potassium pump fails, it causes:",6,water to build up in the cell.,ATP to build up in the cell.,sodium to build up outside of the cell,potassium to build up outside of the cell,,"If the intracellular sodium/potassium pump fails, sodium is left inside of the cell, since water will follow sodium, this will cause the cell to take on water until the cell lyses or the pump begins functioning again.",,,,,
227,All of the following are components necessary for adequate perfusion EXCEPT:,6,ingestion of nutrients,regulation of ventilation,microcirculation,blood volume,transport of oxygen and carbon dioxide by the blood,"If the human body does not ingest nutrients for itself, it will eventually die. However, if any of the other answer choices were to stop, the body would immediately cease to be perfused.",,,,,
228,Perfusion is:,6,"The delivery of oxygen, glucose and other substances to the cells and the elimination of waste products.","The delivery of oxygen, glucose and other substances to the cells.",The elimination of waste products from the cells.,Adequate functioning of all of the structures of the respiratory system.,The exchange of oxygen for carbon dioxide.,"Perfusion is most commonly described as the delivery of oxygen, glucose and other substances to the cells and the elimination of waste products.",,,,,
229,Which of the below is most correct related to oxygenation concepts?,6,The partial pressure of oxygen is 159 mmHg.,Ambient air contains 20% oxygen.,The amount of oxygen in the air has little or no effect on the amount of oxygen that ends up in the blood.,An FiO2 reading of 1.0 would be equal to breathing 1% oxygen.,,"Ambient air contains 21% oxygen at sea level. The amount of oxygen in the air has a great impact on the amount that ends up in the blood, and an FiO2 reading of 1.0 would be equal to breathing 100% oxygen.",,,,,
230,The carina is located at what intercostal space anteriorly?,6,2nd intercostal space,1st intercostal space,3rd intercostal space,4th intercostal space,,The carina is located at the 2nd intercostal space anteriorly and at the 4th vertebrae posteriorly.,,,,,
231,"The sternocleidomastoid muscles, when used for respiration, would be an accessory muscle used during:",6,Inspiration,Expiration,Neither: they would not be used as an accessory muscle.,,,"The accessory muscles used for inspiration include the sternocleidomastoids, the scalene muscles and the pectoralis minor muscles. The accessory muscles used for expiration include the abdominal and internal intercostal muscles.",,,,,
232,"The abdominal muscles, when used for respiration, would be an accessory muscle used during:",6,Expiration,Inspiration,Neither: they would not be used as an accessory muscle.,,,"The accessory muscles used for inspirations include the sternocleidomastoids, the scalene muscles and the pectoralis minor muscles. The accessory muscles used for expiration include the abdominal and internal intercostal muscles.",,,,,
233,"The pectoralis minor muscles, when used for respiration, would be an accessory muscle used during:",6,Inspiration,Expiration,Neither: they would not be used as an accessory muscle.,,,"The accessory muscles used for inspirations include the sternocleidomastoids, the scalene muscles and the pectoralis minor muscles. The accessory muscles used for expiration include the abdominal and internal intercostal muscles.",,,,,
234,"The internal intercostal muscles, when used for respiration, would be an accessory muscle used during:",6,Expiration,Inspiration,Neither: they would not be used as an accessory muscle.,,,"The accessory muscles used for inspirations include the sternocleidomastoids, the scalene muscles and the pectoralis minor muscles. The accessory muscles used for expiration include the abdominal and internal intercostal muscles.",,,,,
235,"The muscles of the larynx, when used for respiration, would be an accessory muscle used during:",6,Neither: they would not be used as an accessory muscle.,Inspiration,Expiration,,,"The accessory muscles used for inspirations include the sternocleidomastoids, the scalene muscles and the pectoralis minor muscles. The accessory muscles used for expiration include the abdominal and internal intercostal muscles. There are no muscles of the larynx that would be used in respiration.",,,,,
236,Boyles law states that:,6,the volume of a gas is inversely proportionate to the pressure.,at a constant temperature the amount of gas that will dissolve into a liquid is directly related to the partial pressure of the gas.,a gas will flow in a certain direction if acted upon by outside forces.,,,"Boyles law states that the volume of a gas is inversely proportionate to the pressure exerted on it. Henry’s law states that at a certain temperature, the amount of gas that will dissolve into a liquid is directly related to the partial pressure of the gas. The direction that a gas will flow if acted upon by outside forces is a description of a pressure gradient.",,,,,
237,During inhalation the diaphragm provides:,6,60-70% of the effort,40-50% of the effort,70-80% of the effort,80-90% of the effort,,The diaphragm provides between 60 and 70% of the effort of an inhaled breath.,,,,,
238,A patient who has a tidal volume of 250 mL and is breathing at 24 times a minute would have a minute volume of:,6,6 Liters/minute,60 Liters/minute,600 Liters/minute,"6,000 Liters/minute",,A patient who is inhaling 250 mL a breath and is breathing 24 times a minute would have a minute volume of 6 Liters. Minute volume = Tidal volume (Tf) X frequency a minute (F/minute).,,,,,
239,A patient who has a tidal volume of 250 mL and is breathing at 24 times a minute would have a minute volume of 6 Liters a minute. What would be the patients alveolar ventilation?,6,4.2 Liters/minute,4 Liters/minute,40.2 Liters/minute,"4,200 Liters/minute",,A patient who is inhaling 250 mL a breath and is breathing 24 times a minute would have a minute volume of 6 Liters. Minute volume = Tidal volume (Tf) X frequency a minute (F/minute). The alveolar ventilations are calculated by then (tidal volume – dead air space) X frequency of ventilation/minute.,,,,,
240,A ventilatory rate of   _________  is considered too high a rate to allow time for adequate expansion of the lungs and sustainable tidal volume in an adult patient:,6,40,50,30,35,,40 breaths a minute is considered too fast a rate to allow for adequate expansion of the lungs to facilitate sustainable tidal volume.,,,,,
241,The central chemoreceptors are located:,6,near the respiratory center in the medulla.,in the aortic arch and the carotid bodies,in the chambers of the heart,in the brain stem by the pituitary gland,,The central chemoreceptors are located near the respiratory center in the medulla. The peripheral receptors are found in the aortic arch and in the carotid bodies.,,,,,
242,Hypoxia becomes the main stimulus for ventilation rather than hypercarbia in patients with:,6,chronic obstructive pulmonary disease,cardiac related issues,no one; most people’s stimulus for ventilation is hypoxia,high altitude related illness,asthma,"Patients with COPD (chronic obstructive pulmonary disease) have frequent hypercarbia and can become immune to high levels of carbon dioxide in their blood.  The body learns to breathe based on the lack of oxygen rather than the build up of CO2, as most people do. This is termed the hypoxic drive.",,,,,
243,The relationship between alveolar blood flow and the alveolar airflow is called:,6,ventilation/perfusion ratio,oxyhemoglobin ratio,gas/flow ratio,perfusion ratio,ventilation ratio,The relationship between alveolar blood flow and the alveolar airflow is called the ventilation/perfusion ratio.,,,,,
244,"The cellular respiration waste product, carbon monoxide, is mostly carried in the bloodstream in its form of bicarbonate.",6,FALSE,TRUE,It is approximately equal as bicarbonate and attached to hemoglobin,,,"Carbon monoxide is not a waste product of cellular respiration; carbon dioxide is. Carbon monoxide, the poison, does attach to hemoglobin readily, which makes it such a dangerous poison.",,,,,
245,"The cellular respiration waste product, carbon dioxide, is mostly carried in the bloodstream in its form of bicarbonate.",6,TRUE,FALSE,It is approximately equal as bicarbonate and attached to hemoglobin,,,Carbon dioxide is mostly carried in the bloodstream as bicarbonate.,,,,,
246,Which of the options below is most correct in reference to oxygen and carbon dioxide transport in the bloodstream?,6,"Oxygen can be carried in the bloodstream, dissolved in plasma.",Carbon dioxide is carried by hemoglobin back to the alveoli.,A hemoglobin molecule can carry up to six oxygen molecules,A full hemoglobin molecule is called deoxyhemoglobin,,"Carbon dioxide is carried back to the alveoli as bicarbonate, not on hemoglobin. A hemoglobin molecule can carry up to 4 oxygen molecules, and a full hemoglobin molecule is called oxyhemoglobin. Oxygen can dissolve and be carried in the plasma, not just on hemoglobin.",,,,,
247,The majority of the body’s blood is found:,6,in the venous system.,in the arterial system.,in the capillary system.,in storage organs like the liver and the spleen.,,Most of the body’s blood is found within the venous system.,,,,,
248,Plasma oncotic pressure:,6,exerts a ‘pull’ effect on intravascular fluids.,exerts a ‘push’ effect on intravascular fluids.,"if high, will draw a lot of fluid out of the vessel.","if low, will draw a lot of fluid into the vessel.",,"Oncotic pressure exerts a pull effect on intravascular fluids. The other answers are the opposite of what they should be:  if low, oncotic pressure will draw a lot of fluid into the vessel, and if high, will draw a lot of fluid out of the vessel.",,,,,
249,If there is an increase in stimulation by the sympathetic nervous system:,6,the heart rate will also increase.,the heart rate will decrease.,the parasympathetic nervous system will send signals to decrease the stimulation of the sympathetic nervous system.,the sympathetic nervous system does not control the heart. ,,The sympathetic nervous system will increase the heart rate and blood pressure. It is for this reason that the sympathetic nervous system is known as the “fight or flight” part of the human nervous system.,,,,,
250,If there is an increase in stimulation by the parasympathetic nervous system:,6,the heart rate will decrease.,the heart rate will increase.,the sympathetic nervous system will send signals to decrease the stimulation by the parasympathetic nervous system.,,,"The parasympathetic nervous system, also known as the ‘rest and digest’ system, will decrease the heart rate if stimulated.",,,,,
251,The Starling effect states that the:,6,stretch of the muscle fiber at the end of diastole determines the force necessary to eject the blood contained within it.,stretch of the muscle fiber at the end of systole determines the force necessary to eject the blood contained within it.,after load will determine how hard the cardiac muscle fibers must contract.,preload will determine how hard the cardiac muscle fibers must contract.,,"While preload and after-load are factors in the Frank Starling effect, the law states that the stretch of the muscle fibers at the end of diastole determine the force necessary to eject the blood contained within it.",,,,,
252,A narrow pulse pressure is defined as:,6,a diastolic pressure less than 25% of the systolic pressure.,a diastolic pressure less than 35% of the systolic pressure.,a diastolic pressure less than 45% of the systolic pressure.,when the difference between diastolic and systolic pressure is closing.,,"When the difference between the diastolic pressure and the systolic pressure is closing, it is called narrowing, regardless of the values. When the diastolic pressure is less than 25% of the systolic, (i.e. 100/75) it would be termed a narrow pulse pressure. If the next BP is 100/80 it would be a narrowing pulse pressure. ",,,,,
253,Which of the following statements is correct?,6,Stroke volume increase will increase blood pressure.,Stroke volume increase will decrease blood pressure.,Stroke volume increase will decrease systemic vascular resistance.,Stroke volume increase will increase parasympathetic stimulation.,,"A stroke volume increase will increase cardiac output, which will increase blood pressure and systemic vascular resistance. The parasympathetic nervous system will usually decrease the stroke volume, blood pressure, and systemic vascular resistance.",,,,,
254,Which of the following is true about blood pressure?,6,An increase in blood pressure will also be an increase in the systemic vascular resistance.,An increase in blood pressure will usually be precipitated by a parasympathetic response.,A decrease in blood pressure will usually be precipitated by a sympathetic response.,A decrease in blood pressure will cause an increase in systemic vascular resistance.,,"Blood pressure can fluctuate for many reasons. Usually, an increase in blood pressure will also cause an increase in the systemic vascular resistance, which will be precipitated by a sympathetic response.",,,,,
255,A sudden decrease in stoke volume could be the result of all of the following EXCEPT:,6,A stimulation of the fight or flight response,A rapid loss of blood,A sudden non-perfusing cardiac rhythm,A spike in after-load,,"A stimulation of the fight or flight response by the sympathetic nervous system will cause a quick spike in the stroke volume. If there is a rapid loss of blood, the heart enters a dangerous rhythm, or for some reason blood is backing up in the arterial system stoke volume will decrease immediately. ",,,,,
256,Sympathetic stimulation will cause which of the following in regards to systemic vascular resistance?,6,Vasoconstriction and an increase in blood pressure,Vasoconstriction and a decrease in blood pressure,Vasodilatation and an increase in blood pressure,Vasodilatation and a decrease in blood pressure,,Sympathetic stimulation will increase the blood pressure by constricting the blood vessels and causing the heart to beat faster and more forcefully. This will result in an increased blood pressure. ,,,,,
257,Which of the following measures systemic vascular resistance?,6,Diastolic pressure,Systolic pressure,The difference between diastolic and systolic pressure,,,"Systolic pressure is a good indicator of cardiac output, whereas the diastolic blood pressure measures the systemic vascular resistance. The difference between the two measures pulse pressure.",,,,,
258,"You have been called to a scene where a patient has been involved in a car accident that has broken his spinal cord. In relation to pathophysiology, which of the following has your patient most likely lost distal to his injury?",6,Systemic vascular resistance,Microcirculation,Use of the sympathetic nervous system,Use of the parasympathetic nervous system,Preload,"The nervous system is constantly sending signals to the vasculature to maintain systemic vascular resistance, so if for any reason, those signals are disrupted, systemic vascular resistance distal to the injury will be lost. This is called neurogenic shock. It is important to note that all of the other options are still happening; the body is simply unaware of their existence below the injury.",,,,,
259,"You have been called to a residence where a man is experiencing chest pain. He states that he has been seeing a cardiologist and that he has, “some major blockage” on the left side of his heart. If the left side of his heart is failing, which of the below would you expect to see?",6,Fluid back up into the lungs,Fluid back up into the body,Decreased contractility,Increased contractility,,"If a patient is experiencing left-sided heart failure, the first signs and symptoms are generally related to breathing, as the heart has trouble drawing blood out of the lung. The right side of the heart continues to pump blood into the lung, pressure increases, and eventually leaks out of the capillaries into the alveoli.",,,,,
260,"If preload is diminished, what would you expect to happen?",6,Stroke volume would also decrease,Stroke volume would increase,The heart rate would have to increase to compensate,The heart rate would have to decrease to allow for proper stretching of the cardiac muscle fibers,The pulse pressure would narrow,"If preload is diminished, then stroke volume is decreased via the Frank Starling law of the heart. Depending on the needs of the body, the other options could be included. Decreasing the heart rate and preload are things that happen to the human body frequently, depending on what the body needs at that time.",,,,,
261,A high hydrostatic pressure will:,6,push fluid out of a capillary and promote edema.,push less fluid out of the vessel and allow oncotic pressure to draw fluid into the vessel.,draw excessive amounts of fluid into the vessel and promote blood volume overload.,,,A high hydrostatic pressure will push fluid out of the capillaries and promote edema. A high oncotic pressure will draw excessive amounts of fluid into the vessel and promote blood volume overload. Remember that hydrostatic pressure and oncotic pressure must be in balance to sustain homeostasis in the body.,,,,,
262,A high oncotic pressure will:,6,draw excessive amounts of fluid into the vessel and promote blood volume overload.,push fluid out of a capillary and promote edema.,push less fluid out of the vessel and allow oncotic pressure to draw fluid into the vessel.,,,A high hydrostatic pressure will push fluid out of the capillaries and promote edema. A high oncotic pressure will draw excessive amounts of fluid into the vessel and promote blood volume overload. Remember that hydrostatic pressure and oncotic pressure must be in balance to sustain homeostasis in the body.,,,,,
263,"If the capillaries in the lungs have a high hydrostatic pressure, what symptoms would you expect to see in a patient?",6,Rales or crackles in the lungs,Wheezing,Edema in the feet,Tachypnea,Hypertension,"A high hydrostatic pressure in the lungs will cause fluid to leak out of the capillaries, causing the patient to have “wet” lung sounds. These sounds are called rales or crackles, and would be most prominent in the lower lobes.",,,,,
264,Which of the following could cause a patient to have an increased hydrostatic pressure in the lungs?,6,Any of the answers could cause this to happen,Left ventricular failure,Right ventricular failure,An EMT giving a patient too much IV fluid,Hypertension,"The most common cause of increased hydrostatic pressure in the lungs is left ventricular failure; however, any of the options could cause the hydrostatic pressure to increase in the lungs. Remember that the most common cause of right ventricular failure is left ventricular failure.",,,,,
265,"If the body lost a significant amount of its blood volume, how would you expect the central nervous system to respond to compensate?",6,Increase peripheral vascular resistance by vasoconstriction,Decrease peripheral vascular resistance by vasoconstriction,Increase peripheral vascular resistance by vasodilation,Decrease peripheral vascular resistance by vasodilatation,,"If the body’s blood volume were to suddenly decrease, the autonomic nervous system would send signals to the body to constrict blood vessels in an attempt to maintain blood pressure. This would be termed increasing peripheral vascular resistance by vasoconstriction.",,,,,
266,"If blood vessels constrict, what happens to the body’s ability to eliminate wastes and deliver oxygen?",6,"Typically, the body cannot get rid of wastes and deliver oxygen as quickly.","Typically, the body speeds up the heart rate to compensate for less blood available.","Typically, nothing would change in a healthy body.","Typically, the body slows down its metabolism and produces less waste to eliminate.",,"If the blood vessels constrict, a limited amount of blood is allowed through, which typically decreases the body’s ability to eliminate waste and deliver oxygen. This may occur because the body does not need to deliver additional oxygen or eliminate any more waste but, in the setting of trauma or hypovolemia, this can be detrimental to patient recovery.",,,,,
267,Central chemoreceptors are:,6,Found in the medulla and sense changes in carbon dioxide and pH in the cerebrospinal fluid.,Found in the carotid bodies and sense changes in carbon dioxide and pH in the bloodstream.,Found in the medulla and sense changes in carbon dioxide and pH in the bloodstream.,Found in the carotid bodies and sense changes in oxygen and pH in the bloodstream.,Found all over the body and sense changes in pH and oxygen levels.,Chemoreceptors are found in the medulla and sense changes in the carbon dioxide and pH in the CSF. Peripheral chemoreceptors are found in the aortic arch and the carotid bodies and sense changes in pH and oxygen levels.,,,,,
268,Peripheral chemoreceptors are:,6,Found in the carotid bodies and sense changes in oxygen and pH in the bloodstream.,Found in the medulla and sense changes in carbon dioxide and pH in the cerebrospinal fluid.,Found in the carotid bodies and sense changes in carbon dioxide and pH in the bloodstream.,Found in the medulla and sense changes in carbon dioxide and pH in the bloodstream.,Found all over the body and sense changes in pH and oxygen levels.,Chemoreceptors are found in the medulla and sense changes in the carbon dioxide and pH in the CSF. Peripheral chemoreceptors are found in the aortic arch and the carotid bodies and sense changes in pH and oxygen levels.,,,,,
269,All of the following can cause poor compliance of the chest wall EXCEPT:,6,Poisons and toxins,Pneumonia,Pulmonary edema,A flail segment,Neuromuscular disease,"Typically, poisons and toxins do not affect compliance in a healthy chest wall. There have been instances where rapid administration can cause the muscles in the chest to “lock-up,” but that reaction is not typical. Therefore, pulmonary edema, pneumonia, neuromuscular diseases, and structural problems like a flail segment can cause compliance issues.",,,,,
270,Aerobic metabolism is much more efficient than anaerobic metabolism.,6,TRUE,FALSE,They are equal if they are done in the presence of oxygen.,,,"Aerobic means in the presence of oxygen, and anaerobic means without oxygen, so the “an” excludes it from being equal with aerobic. Aerobic metabolism will typically produce up to 36 moles of ATP, while anaerobic will only produce 2.",,,,,
271,An EMT could cause a patient to have a laryngeal spasm:,6,TRUE,FALSE,Not without trying to.,,,"A laryngeal spasm may result from injury, insertion of mechanical airways, or administration of some medications, so an EMT could cause this respiratory emergency. It is for this reason that it is important to recognize the signs of a laryngeal spasm and to know how to properly manage a patient’s airway.",,,,,
272,Carbon dioxide is mainly transported in the bloodstream as bicarbonate.,6,TRUE,FALSE,Only when the body is stressed.,,,"Carbon dioxide is mainly transported in the bloodstream as bicarbonate, up to 70%. 23% is transported attached to hemoglobin and 7% is transported dissolved in plasma.",,,,,
273,Metabolism is best defined as: ,6,The conversion of glucose and other nutrients into energy in the form of ATP,The conversion of oxygen and carbon dioxide into energy in the form of ATP,The conversion of oxygen and proteins into nutrients that feed the cells energy needs,"The conversion of oxygen, sugars, proteins, and carbon to fuel the cells ",,"Metabolism is best defined as the conversion of glucose and other nutrients into energy in the form of ATP. CO is a waste product of this process, and proteins can be used in many different ways in the body. ",,,,,
274,An example of the disruption of respiratory control would be: ,6,The brain has failed to appropriately control breathing.,The integrity of the chest cavity has been disrupted. ,The lung tissue itself has been displaced. ,The patient can not maintain a respiratory rate necessary to keep them alive. ,,"There are three types of respiratory dysfunctions: control, pressure and lung tissue. An example of disruption of respiratory control is one where the brain has failed to send messages to control breathing. ",,,,,
275,What is the V/Q match? ,6,The ventilation/perfusion match: this implies that there is sufficient oxygen in the lungs and that it is matched up with an adequate amount of blood to dissolve into. ,The ventilation/pressure match: this implies that there is sufficient oxygen in the lungs and that the ambient pressure is sufficient enough to push it through the alveolar walls. ,"The ventilation/quality match: implies that there is a sufficient enough air moving in and out of the lungs, along with a proper quality of oxygen concentration in that air. ","The ventilation/quantity match: implies that there is sufficient enough air moving in and out of the lungs, along with a rate that can sustain the patients life. ",,"The V/Q match stands for: Ventilation/Perfusion. It implies that not only is there a sufficient enough amount of air moving in and out, but that there is a sufficient amount of blood to transport and capture the oxygen within that air. Simple things like, altitude, structural problems, and even gravity can affect the V/Q match. ",,,,,
276,Heart problems can be either: ,6,Mechanical or electrical,Electrical or functional,Functional or Mechanical,Electrical or physiological,,"Heart issues can be either Mechanical: physical trauma, bullet holes, stab wounds, loss of cardiac muscle function. Or Electrical: unorganized rhythms, rate problems, bradycardia, etc. ",,,,,
277,"You have responded to an elderly patient's home that has suffered a fall. The patient states no loss of consciousness, but that she hit a chair in her abdomen as she fell to the floor. Currently, she has few complaints, other than bumps and bruises but complains of feeling a little light headed. Her heart rate is 118 beats per minute. From what you know about the heart this concerns you because: ",6,This patient could be compensating for something. Her rate is much too high and she feels lightheaded. She could be bleeding into her abdomen. ,"The rate is much too high; you should probably re-assess the patients rate, as it's unlikely to be that high. ","The patient has gone through a traumatic event and is likely to have a high heart rate, without knowing the patients blood pressure there is no way to know if the patients rate is concerning or not. ",The patient has fallen and that is concerning in itself. Elderly patients typically suffer from osteoporosis and has probably suffered several broken bones. ,,"Many issues could be going on with this patient, however, a heart rate that high is very concerning and should lead you to assume that the patient is suffering from low blood volume. That could be because of the fall, a broken bone, or anti-coagulation drugs. Either way, it is important to fully assess the patient and ensure that they get advanced care in the E.D. ",,,,,
